Gene ID	Gene Name	'ca1, ca4 double mutant' vs 'wild type' in '500 ppm carbon dioxide'.p-value	'ca1, ca4 double mutant' vs 'wild type' in '500 ppm carbon dioxide'.log2foldchange	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'ca1, ca4 double mutant'.p-value	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'ca1, ca4 double mutant'.log2foldchange	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'wild type'.p-value	'500 ppm carbon dioxide' vs '150 ppm carbon dioxide' in 'wild type'.log2foldchange	'ca1, ca4 double mutant' vs 'wild type' in '150 ppm carbon dioxide'.p-value	'ca1, ca4 double mutant' vs 'wild type' in '150 ppm carbon dioxide'.log2foldchange
AT1G01340	CNGC10	0.669620584749797	0.4	0.669973934023397	0.5	0.921970532571923	0.1	0.999982111190236	0
AT1G01350		0.999602131988726	-0.1	0.999905277372085	0	0.91266247560711	0.1	0.999982111190236	0
AT1G01355		NA	0	NA	-0.3	NA	-0.2	0.999982111190236	0
AT1G01360	PYL9	0.933259930134404	0.3	0.999905277372085	-0.1	0.419054184903297	-0.4	0.999982111190236	0
AT1G01370	HTR12	0.13623424839112	-0.5	0.999905277372085	-0.1	0.739133139010239	0.3	0.999982111190236	0
AT1G01380	ETC1	0.940272361032704	-0.3	0.999905277372085	0.1	0.756077174739617	0.2	0.999982111190236	-0.1
AT1G01390		0.999602131988726	0	0.999905277372085	0	0.991485718461404	0	0.999982111190236	0
AT1G01400		NA	0	NA	0	NA	0	NA	0
AT1G01410	APUM22	NA	0	NA	0	NA	0	NA	0
AT1G01420	UGT72B3	0.714591126823839	0.3	0.999905277372085	0.4	0.989960970497256	0	0.999982111190236	0
AT1G01430	TBL25	0.999602131988726	0	0.999905277372085	-0.2	0.77579849756879	-0.2	0.999982111190236	0
AT1G01440		0.999602131988726	0.1	0.999905277372085	-0.1	0.52117553143087	-0.2	0.999982111190236	0
AT1G01448		0.975174936436953	0.2	0.999905277372085	-0.2	0.116902143291518	-0.6	0.999982111190236	-0.1
AT1G01450		NA	-0.1	NA	-0.1	NA	0.1	0.999982111190236	0
AT1G01453		NA	0	NA	0	NA	0	0.999982111190236	0
AT1G01460	PIP5K10	NA	0	NA	0	NA	0	NA	0
AT1G01470	LEA14	0.999602131988726	0	0.260698570502189	-0.5	0.0324695813822989	-0.7	0.999982111190236	-0.2
AT1G01480	ACS2	0.206338823214201	0.7	0.999905277372085	0.2	0.460677644540708	-0.5	0.999982111190236	0
AT1G01490		0.999602131988726	0.2	0.999905277372085	0.3	0.976019933224561	0	0.999982111190236	0
AT1G01500		0.999602131988726	0.1	0.999905277372085	0.1	0.951543279059434	-0.1	0.999982111190236	0
AT1G01510	AN	0.999602131988726	-0.1	0.999905277372085	0	0.986821339545946	0	0.999982111190236	0
AT1G01520		0.999602131988726	0	NA	-0.2	0.862160758516003	-0.2	0.999982111190236	0
AT1G01530	AGL28	NA	0	NA	0	NA	0	0.999982111190236	0
AT1G01540		0.999602131988726	0	0.999905277372085	-0.2	0.428259858954904	-0.3	0.999982111190236	0
AT1G01550	BPS1	0.999602131988726	0.2	0.999905277372085	0.2	0.972897558905013	0	0.999982111190236	0
AT1G01560	MPK11	0.874516616925679	0.4	0.621115110364591	0.7	0.830625190511163	0.2	0.999982111190236	0.1
AT1G01570		0.999602131988726	0.2	0.999905277372085	0	0.895206752547585	-0.2	0.999982111190236	0
AT1G01580	FRO2	0.999602131988726	0.2	0.999905277372085	0.2	0.913293837365763	0.1	NA	0.1
AT1G01590	FRO1	NA	0.1	0.999905277372085	-0.2	NA	-0.1	0.999982111190236	0
AT1G01600	CYP86A4	0.205768606030418	-0.6	0.999905277372085	0.5	0.00940348137111671	1	0.999982111190236	0
AT1G01610	GPAT4	0.999602131988726	0	0.999905277372085	-0.1	0.848847712666043	-0.1	0.999982111190236	0
AT1G01620	PIP1-3	0.999602131988726	-0.1	0.999905277372085	-0.3	0.736940952366868	-0.3	0.999982111190236	0
AT1G01630		0.999602131988726	-0.2	0.999905277372085	-0.1	0.635770500890031	0.2	0.999982111190236	0.1
AT1G01640		0.999602131988726	0.1	0.999905277372085	-0.2	0.565667375366636	-0.4	0.999982111190236	-0.1
AT1G01650	SPPL4	0.999602131988726	0.1	0.999905277372085	0.2	0.792779499009837	-0.1	0.999982111190236	-0.2
AT1G01660		0.999602131988726	-0.2	0.999905277372085	-0.1	0.951579536153562	0.1	0.999982111190236	0
AT1G01670	PUB56	0.999602131988726	0	0.999905277372085	-0.1	0.957219598656152	-0.1	0.999982111190236	0
AT1G01680	PUB54	0.999602131988726	0	0.999905277372085	0	0.906351454069723	0.1	0.999982111190236	0.1
AT1G01690	ATPRD3	0.424500323282824	-0.4	0.999905277372085	-0.1	0.727517024335353	0.3	0.999982111190236	0
AT1G01695		NA	-0.2	0.999905277372085	-0.2	0.809016051832999	-0.2	0.999982111190236	-0.1
AT1G01700	ATROPGEF2	0.837001153942381	-0.3	0.999905277372085	-0.1	0.942215222398944	0.1	0.999982111190236	-0.1
AT1G01710		0.999602131988726	0	0.999905277372085	-0.1	0.897901634880904	-0.1	0.999982111190236	0
AT1G01715		0.999602131988726	-0.2	0.999905277372085	-0.1	0.984926995206469	0	0.999982111190236	0
AT1G01720	NAC002	0.368056637647813	0.6	0.999905277372085	-0.2	0.26741711396366	-0.5	0.999982111190236	0.1
AT1G01725		0.999602131988726	0.1	0.999905277372085	0.1	0.732608325055795	-0.3	0.999982111190236	-0.2
AT1G01730		0.999602131988726	0.1	0.999905277372085	0	0.743178932362466	-0.2	0.999982111190236	0
AT1G01740	BSK4	0.999602131988726	0	0.999905277372085	0.1	0.95555645850864	0.1	0.999982111190236	0
AT1G01750	ADF11	0.999602131988726	-0.1	0.999905277372085	0.1	0.993640442865147	0	0.999982111190236	-0.1
AT1G01760		0.999602131988726	-0.1	0.999905277372085	-0.2	0.985753385523172	0	0.999982111190236	0
AT1G01770		0.999602131988726	0.1	0.999905277372085	-0.2	0.380141498774211	-0.4	0.999982111190236	-0.1
AT1G01780	PLIM2B	0.999602131988726	0	0.999905277372085	-0.3	0.729584143712384	-0.3	0.999982111190236	0
AT1G01790	KEA1	0.999602131988726	0.1	0.999905277372085	-0.1	0.958375123128957	-0.1	0.999982111190236	0.1
AT1G01800		0.934306502638684	0.2	0.999905277372085	0.1	0.846900649176289	-0.1	0.999982111190236	0
AT1G01810		0.999602131988726	0	0.999905277372085	0.3	0.714229377036899	0.3	0.999982111190236	0
AT1G01820	PEX11C	0.999602131988726	0.2	0.999905277372085	0	0.812749671861817	-0.2	0.999982111190236	0
AT1G01830		0.999602131988726	-0.1	0.999905277372085	-0.2	0.974271357759585	0	0.999982111190236	0
AT1G01840		NA	-0.2	0.999905277372085	-0.2	NA	0.1	0.999982111190236	0
AT1G01860	PFC1	0.999602131988726	-0.2	0.999905277372085	-0.1	0.951787642426174	0.1	0.999982111190236	0
AT1G01870		NA	0	NA	0	NA	0	NA	0
AT1G01880	GEN1	0.944034260681236	-0.2	0.999905277372085	-0.1	0.715213860756791	0.2	0.999982111190236	0.1
AT1G01890		NA	0	NA	0	NA	0	NA	0
AT1G01900	SBTI1.1	0.996575012605374	-0.3	0.999905277372085	-0.2	0.995330078978137	0	0.999982111190236	0
AT1G01910		0.999602131988726	0.1	0.999905277372085	0.1	0.88805750579486	0.1	0.999982111190236	0
AT1G01920		0.999602131988726	-0.2	0.999905277372085	-0.2	0.946091030951285	-0.1	0.999982111190236	0
AT1G01930		0.999602131988726	0	0.999905277372085	-0.1	0.977341653484264	0	0.999982111190236	0.1
AT1G01940	CYP18-1	0.999602131988726	-0.2	0.999905277372085	0.1	0.689618712609478	0.3	0.999982111190236	0
AT1G01950	ARK2	0.999602131988726	0	0.999905277372085	0	0.983923537582557	0	0.999982111190236	0
AT1G01960	BIG3	0.999602131988726	0	0.999905277372085	0.1	0.876746247645649	0.1	0.999982111190236	0
AT1G01970		0.999602131988726	-0.1	0.999905277372085	-0.1	0.900615797484828	0.1	0.999982111190236	0.1
AT1G01980	SEC1A	NA	-0.5	0.999905277372085	-0.2	0.772991023076684	0.2	0.999982111190236	0
AT1G01990		0.999602131988726	0.1	0.999905277372085	0	0.868920907200756	-0.1	0.999982111190236	0
AT1G02000	GAE2	0.999602131988726	0.1	0.999905277372085	0	0.957478538892652	0	0.999982111190236	0
AT1G02010	SEC1A	0.999602131988726	0.1	0.999905277372085	-0.3	0.226666965586506	-0.4	0.999982111190236	-0.1
AT1G02020		0.999602131988726	0.1	0.999905277372085	-0.1	0.958163843610861	-0.1	0.999982111190236	0.1
AT1G02030	ZAT1	0.999602131988726	-0.3	0.999905277372085	0	0.98588422114387	0	0.999982111190236	-0.1
AT1G02040		NA	0.1	NA	0.1	NA	0	0.999982111190236	0
AT1G02050	PKSA	0.999602131988726	0	0.999905277372085	-0.2	0.749585588525847	-0.2	0.999982111190236	0
AT1G02060		0.999602131988726	-0.1	0.999905277372085	-0.2	0.847509412290456	-0.1	0.999982111190236	0
AT1G02065	SPL8	0.930852349491949	-0.3	0.999905277372085	-0.1	0.646956088878539	0.4	0.999982111190236	0
AT1G02067		NA	0	NA	0	NA	0	NA	0
AT1G02070		NA	-0.1	0.999905277372085	0	0.960110419591393	0.1	0.999982111190236	0
AT1G02080		0.999602131988726	0	0.999905277372085	-0.1	0.881591757365254	-0.1	0.999982111190236	0
AT1G02090	CSN7	0.999602131988726	-0.1	0.999905277372085	0.1	0.549391751743867	0.3	0.999982111190236	0.1
AT1G02100	LCMT1	0.999602131988726	0.1	0.999905277372085	-0.1	0.648805869066264	-0.2	0.999982111190236	0
AT1G02110		0.999602131988726	-0.1	0.999905277372085	-0.2	0.880342752316065	-0.1	0.999982111190236	0
AT1G02120	VAD1	0.487750684750749	0.2	0.999905277372085	-0.1	0.466800030043041	-0.3	0.999982111190236	0
AT1G02130	RABD2A	0.999602131988726	0	0.999905277372085	0	0.967154014117394	0	0.999982111190236	0
AT1G02140	MEE63	0.970697664441799	-0.1	0.999905277372085	0	0.766995378859601	0.1	0.999982111190236	0
AT1G02145	ALG12	0.934306502638684	-0.2	0.999905277372085	-0.2	0.977655378900407	0	0.999982111190236	0
AT1G02150		0.999602131988726	-0.1	0.999905277372085	0	0.819208272002655	0.2	0.999982111190236	0.1
AT1G02160		0.999602131988726	-0.1	0.999905277372085	-0.2	0.916014130263939	-0.1	0.999982111190236	0
AT1G02170	AMC1	0.419845467429945	0.3	0.999905277372085	0.2	0.937639307637517	0.1	0.999982111190236	0.1
AT1G02180		0.839470952385726	-0.3	0.999905277372085	0	0.663820806723885	0.3	0.999982111190236	0
AT1G02190		0.934306502638684	-0.4	0.999905277372085	-0.2	0.977341653484264	0	0.999982111190236	0
AT1G02205	CER1	0.00104852572796528	-0.9	0.999905277372085	-0.3	0.532464013149037	0.4	0.999982111190236	0
AT1G02210		NA	0	NA	0	NA	0	NA	0
AT1G02220	NAC003	0.84350706564031	0.4	0.0572055396756147	0.8	0.977860627297907	0	0.999982111190236	0
AT1G02230	NAC004	0.999602131988726	0	0.999905277372085	0.3	0.826206753615728	0.2	0.999982111190236	0
AT1G02250	NAC005	NA	0.1	0.999905277372085	0.2	NA	0.1	0.999982111190236	0
AT1G02260		0.999602131988726	0.1	0.999905277372085	-0.3	0.187433470191593	-0.5	0.999982111190236	-0.1
AT1G02270		0.999602131988726	0	0.999905277372085	0	0.922026998397339	0.1	0.999982111190236	0
AT1G02280	TOC33	0.512530811912847	-0.3	0.999905277372085	-0.1	0.527558075757932	0.3	0.999982111190236	0.1
AT1G02290		0.984664019783061	-0.2	0.999905277372085	-0.1	0.954893669064688	0.1	0.999982111190236	0
AT1G02300	CATHB1	0.999602131988726	0.1	0.999905277372085	-0.1	0.60007369761983	-0.4	0.999982111190236	-0.1
AT1G02305	CATHB2	0.785587189387708	0.2	0.999905277372085	0	0.465905387249683	-0.3	0.999982111190236	-0.1
AT1G02310	MAN1	NA	0	0.999905277372085	-0.2	NA	-0.3	0.999982111190236	0
AT1G02320		NA	0	NA	0	NA	0	NA	0
AT1G02330	CSU2	0.724719475124405	-0.2	0.999905277372085	0	0.676453790232565	0.2	0.999982111190236	0
AT1G02335	GL22	0.999602131988726	-0.2	0.999905277372085	0	0.945670431687731	-0.1	0.999982111190236	-0.2
AT1G02340	HFR1	0.999602131988726	0.2	0.999905277372085	0	0.356708839096309	-0.6	0.999982111190236	-0.1
AT1G02350		0.999602131988726	-0.2	0.999905277372085	-0.2	0.976674850093851	-0.1	0.999982111190236	0
AT1G02360		0.979827089895548	0.3	0.672557948590299	0.6	0.786121203627035	0.3	0.999982111190236	0
AT1G02370		0.979381886959596	-0.3	0.999905277372085	0.1	0.340761359491457	0.4	0.999982111190236	0
AT1G02380		0.735422626213616	-0.3	0.999905277372085	-0.3	0.996049731512827	0	0.999982111190236	-0.1
AT1G02390	GPAT2	0.999602131988726	0	0.519779107534652	-0.7	0.238848106676247	-0.7	0.999982111190236	0
AT1G02400	GA2OX6	0.692468418510576	0.5	0.0390333454913984	1	0.984376323728782	0	0.999982111190236	-0.2
AT1G02405		NA	0	0.999905277372085	0.1	NA	-0.1	0.999982111190236	0
AT1G02410	COX11	0.999602131988726	-0.1	0.999905277372085	0	0.942739091255776	0.1	0.999982111190236	0
AT1G02420		0.999602131988726	-0.1	0.999905277372085	-0.1	0.970891911417048	0.1	0.999982111190236	0
AT1G02430	ATARFD1B	0.894038087238505	-0.4	0.999905277372085	-0.1	0.361175480873523	0.6	0.999982111190236	0.1
AT1G02440	ATARFD1A	0.999602131988726	0.1	0.999905277372085	0.2	0.683595219529794	0.3	0.999982111190236	0.1
AT1G02450	NIMIN-1	0.999602131988726	0.1	0.999905277372085	-0.1	0.86139897762369	0.2	0.999982111190236	0.1
AT1G02460		0.999602131988726	0.2	0.999905277372085	0.2	0.948208947083651	-0.1	0.999982111190236	0
AT1G02470		0.999602131988726	0.2	0.999905277372085	0.1	0.956706572779754	-0.1	0.999982111190236	0
AT1G02475		0.999602131988726	0.2	0.999905277372085	0	0.991553848411122	0	0.999982111190236	0.1
AT1G02480		NA	0	NA	0	NA	0	NA	0
AT1G02490		NA	0.2	0.999905277372085	0	0.8852345601937	-0.2	0.999982111190236	0
AT1G02500	SAM1	0.999602131988726	0.2	0.999905277372085	0.2	0.991359109194805	0	0.999982111190236	0
AT1G02510	TPK4	NA	0	NA	0	NA	0	NA	0
AT1G02520	ABCB11	0.764636218805982	0.5	0.999905277372085	-0.1	0.400871710683876	-0.5	0.999982111190236	0.1
AT1G02530	ABCB12	NA	-0.1	0.999905277372085	-0.1	0.996049731512827	0	0.999982111190236	0
AT1G02540		NA	0	NA	0	NA	0	NA	0
AT1G02550		NA	0	NA	0	NA	0	NA	0
AT1G02560	CLPP5	0.999602131988726	0	0.999905277372085	0	0.763862581290802	0.2	0.999982111190236	0.1
AT1G02570		NA	0.1	NA	0	NA	0	0.999982111190236	0
AT1G02575		NA	0.3	0.999905277372085	0.4	NA	0	0.999982111190236	0
AT1G02580	MEA	NA	0.3	0.88799978026786	0.5	NA	0.2	0.999982111190236	0
AT1G02590		NA	0	NA	0	NA	0	0.999982111190236	0
AT1G02600		NA	0	NA	0	NA	0	NA	0
AT1G02610		0.988187142755231	0.3	0.999905277372085	0.1	0.5819721676109	-0.4	0.999982111190236	0
AT1G02620		0.88940393579009	0.4	0.999905277372085	0	0.208623725036977	-0.7	0.999982111190236	-0.1
AT1G02630	ETN8	NA	-0.1	NA	0	NA	-0.1	0.999982111190236	0
AT1G02640	BXL2	NA	0.2	NA	0.2	0.947233551443202	-0.1	0.999982111190236	0
AT1G02650		0.999602131988726	0.3	0.999905277372085	0.1	0.880986862326889	-0.2	0.999982111190236	0
AT1G02660	PLIP2	0.946512896711465	0.3	0.999905277372085	0.2	0.767057827685447	-0.3	0.999982111190236	0
AT1G02670		0.999602131988726	-0.2	0.999905277372085	0	0.490810948209296	0.4	0.999982111190236	0.1
AT1G02680	TAF13	0.999602131988726	0	0.999905277372085	-0.1	0.791273343763654	-0.2	0.999982111190236	-0.1
AT1G02690	IMPA-6	0.490349859914036	-0.3	0.999905277372085	0.1	0.611936029313472	0.3	0.999982111190236	0
AT1G02700		0.788937617882989	0.4	0.279078908113567	-0.7	0.0849910125104565	-0.9	0.999982111190236	0
AT1G02705		0.999602131988726	-0.2	0.999905277372085	0.1	0.963674706360493	-0.1	0.999982111190236	-0.1
AT1G02710		NA	0	NA	0	NA	0	NA	0
AT1G02720	GATL5	0.999602131988726	-0.2	0.999905277372085	-0.1	0.87511480957617	0.1	0.999982111190236	0
AT1G02730	CSLD5	0.00605888505748062	-0.5	0.999905277372085	0	0.517115186302007	0.4	0.999982111190236	0
AT1G02740	MRG2	0.990334275518506	-0.2	0.999905277372085	-0.1	0.932792168807668	0.1	0.999982111190236	0
AT1G02750	DI19-2	0.999602131988726	0	0.999905277372085	-0.2	0.903650730423258	-0.1	0.999982111190236	0
AT1G02760		NA	0	NA	0	NA	0	NA	0
AT1G02770		0.999602131988726	0.2	0.999905277372085	-0.3	0.464476418347782	-0.5	0.999982111190236	0
AT1G02780	RPL19A	0.344946521857182	-0.3	0.999905277372085	0.1	0.408792928676709	0.4	0.999982111190236	0
AT1G02790	PGA3	NA	0	NA	0	NA	0	NA	0
AT1G02800	CEL2	0.967387139229073	-0.3	0.999905277372085	-0.1	0.624109240764575	0.4	0.999982111190236	0.1
AT1G02810	PME7	0.742262543203774	0.5	0.999905277372085	0.1	0.893836894285413	-0.1	0.999982111190236	0.1
AT1G02813		NA	0	NA	0	NA	0	0.999982111190236	0
AT1G02816		0.999602131988726	0.2	0.999905277372085	0	0.876746247645649	-0.2	0.999982111190236	0
AT1G02820	LEA2	0.999602131988726	0	NA	-0.1	NA	-0.1	NA	0
AT1G02830	RPL22A	NA	-0.1	NA	0.1	NA	0.1	0.999982111190236	0
AT1G02840	SR34	0.999602131988726	0.1	0.999905277372085	-0.1	0.290628044183246	-0.3	0.999982111190236	-0.2
AT1G02850	BGLU11	0.0114282885967509	1	0.999905277372085	0	0.198642080869914	-0.7	0.999982111190236	0.1
AT1G02860	BAH1	0.999602131988726	0.2	0.999905277372085	0.1	0.808627435229244	-0.2	0.999982111190236	0
AT1G02870		0.734041961926883	-0.3	0.999905277372085	0.1	0.495248810740761	0.3	0.999982111190236	-0.1
AT1G02880	TPK1	0.953694391985428	0.3	0.999905277372085	0	0.783784317725184	-0.2	0.999982111190236	0.1
AT1G02890		0.986377875613773	0.1	0.999905277372085	0	0.754062021176379	-0.1	0.999982111190236	0
AT1G02900	RALF1	0.999602131988726	0.1	0.999905277372085	0.4	0.962234698864755	0.1	0.999982111190236	0
AT1G02910	LPA1	0.999602131988726	0.1	0.999905277372085	0	0.972531828516589	0	0.999982111190236	0.1
AT1G02920	GSTF7	0.500499975583738	0.6	0.70020459250746	0.6	0.995330078978137	0	0.999982111190236	0
AT1G02930	GSTF6	0.719456714150377	0.5	0.179104650569798	0.9	0.763862581290802	0.3	0.999982111190236	0
AT1G02940	ATGSTF5	0.919107785188353	0.4	0.999905277372085	0.2	0.985340779821844	0	0.999982111190236	0
AT1G02950	ATGSTF4	0.999602131988726	-0.1	0.999905277372085	-0.1	0.870046698215794	-0.2	0.999982111190236	-0.1
AT1G02952		NA	0	NA	0	NA	0	0.999982111190236	0
AT1G02960		0.999602131988726	0	0.999905277372085	-0.2	0.551872032228656	-0.3	0.999982111190236	-0.1
AT1G02965		NA	0	NA	0	NA	0	NA	0
AT1G02970	WEE1	0.471881739303049	-0.4	0.999905277372085	0.1	0.43003494905989	0.4	0.999982111190236	0
AT1G02980	CUL2	NA	0.1	NA	0	NA	-0.2	0.999982111190236	0
AT1G02990		0.999602131988726	0	0.999905277372085	-0.1	0.881164850695914	-0.1	0.999982111190236	0
AT1G03000	PEX6	0.999602131988726	0	0.999905277372085	-0.1	0.922960535047377	-0.1	0.999982111190236	0
AT1G03010		0.999602131988726	0	0.999905277372085	0.4	0.770978695164015	0.2	0.999982111190236	0
AT1G03020	GRXS1	0.999602131988726	0	NA	-0.2	NA	-0.1	0.999982111190236	0
AT1G03030		0.999602131988726	0	0.999905277372085	0	0.958594624949497	0.1	0.999982111190236	0
AT1G03040		0.999602131988726	0.1	0.999905277372085	0	0.938590481361659	-0.1	0.999982111190236	0
AT1G03050		NA	0.1	NA	0.1	NA	0	0.999982111190236	0
AT1G03055	D27	0.967387139229073	-0.2	0.985584753969658	-0.5	0.732906708631568	-0.2	0.999982111190236	0
AT1G03060	SPI	0.999602131988726	0	0.999905277372085	-0.1	0.951579536153562	0	0.999982111190236	0.1
AT1G03070	LFG4	0.999602131988726	0.1	0.999905277372085	0	0.783784317725184	-0.3	0.999982111190236	0
AT1G03080	NET1D	0.999602131988726	0	0.999905277372085	0	0.970416184240199	0	0.999982111190236	0
AT1G03090	MCCA	NA	0.3	0.999905277372085	0.3	0.668403063247581	-0.4	0.999982111190236	-0.1
AT1G03100		0.999602131988726	-0.1	0.999905277372085	0	0.61903382148901	0.4	0.999982111190236	0.1
AT1G03103		NA	0	NA	0	NA	0	0.999982111190236	0
AT1G03106		0.999602131988726	0.3	0.633880985736929	-0.7	0.490780884939376	-0.4	0.999982111190236	0
AT1G03110	TRM82	0.0580973669604673	-0.4	0.999905277372085	0	0.517115186302007	0.3	0.999982111190236	0
AT1G03120	ATRAB28	0.984664019783061	0.3	0.782261781394603	-0.6	0.512573063928032	-0.5	0.999982111190236	0.1
AT1G03130	PSAD2	0.999602131988726	0	0.999905277372085	-0.1	0.967154014117394	-0.1	0.999982111190236	0
AT1G03140		0.999602131988726	0.1	0.999905277372085	0	0.882730089874027	-0.1	0.999982111190236	0
AT1G03150	NAA20	0.999602131988726	-0.1	0.999905277372085	0	0.978203683375497	0	0.999982111190236	0
AT1G03160	FZL	0.999602131988726	-0.1	0.999905277372085	0	0.939108561654192	0.1	0.999982111190236	0
AT1G03165		NA	0	0.999905277372085	-0.1	NA	0.1	0.999982111190236	0
AT1G03170	FAF2	0.999602131988726	-0.2	0.999905277372085	-0.2	0.811962983003067	-0.2	0.999982111190236	-0.1
AT1G03180		0.999602131988726	-0.2	0.999905277372085	-0.1	0.858239951960809	0.2	0.999982111190236	0
AT1G03190	XPD	0.999602131988726	-0.1	0.999905277372085	-0.1	0.95554255919362	0	0.999982111190236	0
AT1G03200		0.999602131988726	0	0.999905277372085	-0.1	0.77579849756879	-0.3	0.999982111190236	-0.1
AT1G03210		0.750813020908762	0.4	0.999905277372085	0.3	0.879577349156352	-0.2	0.999982111190236	0
AT1G03220		0.355154771257961	0.5	0.999905277372085	0.1	0.727603532371912	-0.2	0.999982111190236	0
AT1G03230		0.996575012605374	0.2	0.999905277372085	0.1	0.99990669453484	0	0.999982111190236	0.1
AT1G03240		NA	-0.1	0.999905277372085	-0.2	NA	-0.1	0.999982111190236	0
AT1G03250		0.999602131988726	0	0.999905277372085	0.1	0.807501529675396	0.2	0.999982111190236	0
AT1G03260		0.999602131988726	0	0.999905277372085	0	0.900909074512507	-0.1	0.999982111190236	-0.1
